,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
0,UgwQh6MDOkEdTzvzBwB4AaABAg,Dengan terbangunnya IKN do'aku selalu semoga INDONESIA menjadi negara maju dan sejahtera aamiin. Selamat HUT yg ke 79 NKRI semoga damai selalu,11 jam yang lalu,@user-pp2uy1tb7m,UCR2THQxMvhaJ-Phzwx63Yeg,38,,https://yt3.ggpht.com/JS9G9JL0MQc78Iik-pHHLJ5CvrT85UAh_2RwxEjZ3foc8h-vFnnEVQsfKTLXORiVo4M9VJLqTsk=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.363286
1,Ugwp0wYpLHw-Lijz_Ht4AaABAg,Puji Tuhan sangat terharu😢😢atas penyertaan Tuhan hingga proklamasi kemerdekaan indonesia ke  79 Th boleh dilaksanakan di Ibu kota Nusantara..Gbu,11 jam yang lalu,@GKIIkiyaq,UCGfNwKjNg6LyAO-iqRK5vvQ,24,,https://yt3.ggpht.com/ytc/AIdro_nCbkqR5L8XBTe4XCJ_CGAF_BMQnod_Ph10C0HnAs_dPjEFlD7f9eQZxca1IKA1n77VZw=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.369524
2,Ugz9XfxYiBPXpIwFy0Z4AaABAg,"Jayalah Negeriku, dengan perpindahan ibukota baru kembali keasal kerajaan Nusantara pertama.
Semoga kita bisa menjadi macan asia kembali.",12 jam yang lalu,@KeluargaAbiWijaya,UCxRJ79HWGINjLSkijeDDGpw,47,,https://yt3.ggpht.com/d_Hif-HFuNq0feOEzbw7JeSNu5kJRN_lEkkrusGZmKfuSFbZPvbYNAYcqMnqa3eAUloo73CV=s88-c-k-c0x00ffffff-no-rj,False,False,1723868087.372522
3,Ugwcmp120odT8k3P8s94AaABAg,Terimakasih kepada putra dan putri terbaik bangsa indonesia yg telah membangun Ibu Kota Nusantara Dirgahayu Republik Indonesia ke 79...Indonesia Jaya,11 jam yang lalu,@banang443,UCsjxkagtMfLRj1_P5dgMP1Q,42,9,https://yt3.ggpht.com/qNe-ygS3X_dVnOPQF4VfMaEIDNuMMk2jo9c3yKN4YGIH6UhD3E5rCxXaeK-k5yLbvzwQtFF7OyI=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.37752
4,UgxNyas7ra6SJUDb3hB4AaABAg,"Subhanallah aku seneng liat pak Prabowo ada di sana , meskipun 3x kalah melawan pak Jokowi tp beliau tidak nganggap musuh , gak kayak si itu tu ... Tp Alhamdulillah skrg pak Prabowo terpilih sebagai presiden .",12 jam yang lalu,@YusjiPranata-rk9xq,UCgfi46xErQHKlQHXC8Q65Dg,76,10,https://yt3.ggpht.com/_deR9n5ugtkSxeNGnpqllckZTDGZMLNex2I-i7KBKgviL5yx0B6Rv9DgYHIXXZMH89za0y-G=s88-c-k-c0x00ffffff-no-rj,False,False,1723868087.380539
5,UgygXZY5tTvGxNuBnH54AaABAg,"Sejarah telah mencatat terimakasi pak jokowi. Indonesia damai, indonesia makmur, indonesia sejahterah,indonesia di cintai dunia, indonesia bersih dari korupsi amin.🇲🇨🇲🇨🇲🇨 ❤❤❤ 🤲🤲🤲",11 jam yang lalu,@KAPUT702,UCD-XaPykNkS5cxd02mrDo4A,34,,https://yt3.ggpht.com/besXUb9qEuYkv8bA01gvdLyGVuXQLL3LyJMBhfeCbfjGMbThGar17LJtXfnvMl3T_oNqGFjT9is=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.384515
6,Ugy23zRYAj3T1iWDC0N4AaABAg,"Saya sebagai rakyat kecil,,, sangat bangga dan yerharu sekali, upacara 17 Agustus 2024 yg je 79 di IKN, terlaksana dengan baik dan tidak ada rintangan sesuatu apapun",11 jam yang lalu,@adedirin0153,UC9ag7TSCtenMeJYJl3Nyzkw,15,1,https://yt3.ggpht.com/ytc/AIdro_kntK6VYE99nmjovehtKuEs_fyYg4hpX8zG3pn2sIc=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.388515
7,UgzgTscSq630AfFUVhZ4AaABAg,kami warga kabupaten Berau sangat mengapresiasi kerja keras presiden RI dan semua anggota DPR RI hingga terwujud nya pembangunan IKN smg indonesia tambah jaya gemah ripah loh jinawe rakyat nya....Aamiin,10 jam yang lalu,@suharnoberau9635,UCDQ1_DbvifNSNOrfNH6FlsA,6,,https://yt3.ggpht.com/ytc/AIdro_lLO0ImhxgasK6glJKi7avEARw5exGe1y13Xjz1SeI=s88-c-k-c0x00ffffff-no-rj,False,False,1723875287.391693
8,Ugx6O9Aj7KJS7xlsvWF4AaABAg,"Proses membangun di daerah baru serta proses membuang sampah sampah politiik ibu kota, memang butuh hinaan dulu. Keren presiden ku, strategi jangka panjang yang org awam tak akan paham ❤",11 jam yang lalu,@vieshared5538,UCvveHCqey8ZRHmBmB3re1xA,42,2,https://yt3.ggpht.com/ytc/AIdro_lohaCawix0xlhxErYegqMMf3ObDt-uufqHbadP42l86lQ=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.391693
9,Ugx1jm33yfsFj-6Uzi14AaABAg,Saya bangga menjadi bagian NKRI kebahagiaan tak terukur sujud syukur kehadirat Allah swt... Atas semua jasa² para pahlawan yang gugur membela kemerdekaan RI ....,11 jam yang lalu,@suebmulyanto6869,UCoB05dOlzSlmZibKjW1EWQA,14,,https://yt3.ggpht.com/q56YPRMrpexFmO2lrrL2vqv5ooYt2225-mzArhS_QotalDgQSO9rcMK1RyC-h3UwgJvExj_PVQ=s88-c-k-c0x00ffffff-no-rj,False,False,1723871687.391693
